form,q_num,item_id,correct_answer,core_or_calibration
A,1,A-DI-014,A,Core
A,2,A-CE-036,D,Core
A,3,A-CE-004,A,Calibration
A,4,A-CR-012-R1,B,Core
A,5,A-TX5E-003-R1,D,Core
A,6,A-TX5F-004-R1,D,Core
A,7,A-CE-041,B,Core
A,8,A-CP-006-R2,D,Core
A,9,A-CE-027,D,Core
A,10,A-TX5C-006,C,Core
A,11,A-CP-010,B,Calibration
A,12,A-CE-012-R1,B,Core
A,13,A-CR-007-R1,C,Core
A,14,A-CR-004-R1,A,Core
A,15,A-LE6-001,C,Core
A,16,A-CE-026,B,Calibration
A,17,A-TX5F-001-R1,B,Core
A,18,A-TX5E-004,A,Core
A,19,A-DI-003-R1,B,Core
A,20,A-LE6-008,C,Calibration
A,21,A-DI-009-R1,C,Core
A,22,A-TX5E-007-R1,A,Core
A,23,A-CE-002-R1,C,Core
A,24,A-TX5C-003,C,Core
A,25,A-CR-013,D,Core
A,26,A-CE-009,B,Calibration
A,27,A-CR-011-R1,C,Core
A,28,A-CE-030,D,Core
A,29,A-LE6-002,A,Core
A,30,A-TX5A-008,D,Core
A,31,A-TX5C-001,C,Core
A,32,A-CP-002-R2,D,Core
A,33,A-CP-017,D,Core
A,34,A-CE-006,C,Core
A,35,A-DI-007-R4,D,Core
A,36,A-TX5D-003,A,Calibration
A,37,A-CR-006-R1,D,Core
A,38,A-CE-011,D,Core
A,39,A-DI-015,C,Calibration
A,40,A-CP-011,C,Core
A,41,A-CE-033,B,Core
A,42,A-CP-018-R3,B,Core
A,43,A-CE-031,C,Core
A,44,A-CR-009-R2,D,Core
A,45,A-TX5B-002,C,Calibration
A,46,A-TX5B-004,B,Core
A,47,A-LE6-005,D,Core
A,48,A-DI-011-R1,D,Core
A,49,A-CP-009,A,Core
A,50,A-CE-015-R1,C,Core
A,51,A-DI-001,A,Core
A,52,A-TX5D-005-R1,A,Core
A,53,A-DI-016-R1,D,Core
A,54,A-CE-017,D,Calibration
A,55,A-CE-008,C,Core
A,56,A-LE6-014,D,Core
A,57,A-CP-014,B,Core
A,58,A-CR-008,B,Core
A,59,A-CE-032-R1,D,Core
A,60,A-LE6-004,D,Calibration
A,61,A-CR-010-R1,A,Core
A,62,A-CE-001-R2,B,Core
A,63,A-LE6-010,B,Core
A,64,A-TX5E-009-R1,D,Core
A,65,A-CR-005-R1,B,Calibration
A,66,A-CP-015,C,Core
A,67,A-CP-005-R2,B,Core
A,68,A-CR-001-R3,A,Core
A,69,A-DI-012,B,Calibration
A,70,A-TX5A-003,C,Core
A,71,A-CE-013,A,Core
A,72,A-CE-022,D,Core
A,73,A-TX5C-007-R1,A,Core
A,74,A-LE6-013,C,Core
A,75,A-TX5F-003-R1,C,Core
A,76,A-CE-016,B,Calibration
A,77,A-DI-010-R2,A,Core
A,78,A-LE6-012,A,Core
A,79,A-TX5C-009-R1,C,Core
A,80,A-TX5E-008-R1,C,Core
A,81,A-CP-003,A,Calibration
A,82,A-DI-017-R3,B,Core
A,83,A-CP-012,D,Core
A,84,A-DI-004,D,Core
A,85,A-CE-003-R1,B,Core
A,86,A-CE-007-R2,D,Core
A,87,A-TX5A-007-R1,C,Core
A,88,A-TX5E-006-R1,B,Core
A,89,A-CR-015,C,Calibration
A,90,A-CP-016,A,Core
A,91,A-CE-040,D,Core
A,92,A-DI-008,B,Core
A,93,A-CP-001-R2,B,Core
A,94,A-CE-038,C,Core
A,95,A-TX5F-002-R1,D,Calibration
A,96,A-CE-025,C,Core
A,97,A-TX5D-008-R1,B,Core
A,98,A-LE6-007-R1,B,Core
A,99,A-CP-004,C,Core
A,100,A-TX5E-002-R1,A,Calibration
A,101,A-CE-014,A,Core
A,102,A-CE-034,C,Core
A,103,A-DI-002,C,Calibration
A,104,A-TX5A-005,D,Core
A,105,A-TX5D-001,D,Core
A,106,A-LE6-011-R1,A,Core
A,107,A-CE-005,D,Core
A,108,A-CE-029,A,Core
A,109,A-TX5D-004,A,Core
A,110,A-CP-008,D,Calibration
A,111,A-TX5C-008-R3,B,Core
A,112,A-CE-010,A,Core
A,113,A-DI-013-R1,C,Core
A,114,A-TX5A-004,A,Core
A,115,A-LE6-006-R1,B,Core
A,116,A-CR-016,B,Core
A,117,A-CE-028,C,Calibration
A,118,A-CE-023-R1,A,Core
A,119,A-DI-006-R2,A,Core
A,120,A-TX5E-005,D,Core
A,121,A-LE6-003,A,Core
A,122,A-LE6-009,D,Core
A,123,A-CP-013,A,Core
A,124,A-TX5E-010-R1,B,Calibration
A,125,A-CE-018,A,Core
A,126,A-CE-019,C,Core
A,127,A-LE6-015,B,Calibration
A,128,A-TX5E-001,C,Core
A,129,A-TX5C-002,B,Core
A,130,A-CP-007,C,Core
A,131,A-DI-005,C,Core
A,132,A-CR-014-R1,A,Core
A,133,A-TX5C-004,D,Calibration
A,134,A-TX5B-001,A,Core
A,135,A-CR-002-R1,D,Core
A,136,A-CE-035,A,Core
A,137,A-CE-020,B,Core
A,138,A-TX5D-002,B,Core
A,139,A-CR-003-R1,C,Core
A,140,A-TX5A-001-R1,D,Core
A,141,A-TX5B-003,B,Core
A,142,A-CE-021,C,Core
A,143,A-TX5A-006,B,Calibration
A,144,A-CE-024,A,Core
A,145,A-CE-037,B,Calibration
A,146,A-TX5D-006-R2,C,Core
A,147,A-TX5D-007-R3,A,Core
A,148,A-CE-039,A,Core
A,149,A-TX5C-005,B,Core
A,150,A-TX5A-002-R2,B,Core
B,1,B-CP-006-R2,A,Core
B,2,B-CE-004,A,Core
B,3,B-LE6-008,B,Core
B,4,B-DI-005-R1,A,Core
B,5,B-TX5D-007-R1,C,Core
B,6,B-TX5E-008-R1,B,Calibration
B,7,B-CP-008,D,Core
B,8,B-LE6-015-R2,B,Core
B,9,B-CR-002-R3,C,Core
B,10,B-CP-017-R3,D,Calibration
B,11,B-TX5D-005-R2,D,Core
B,12,B-TX5E-009-R1,A,Core
B,13,B-CE-013,D,Core
B,14,B-CE-034,C,Core
B,15,B-DI-008-R3,C,Core
B,16,B-CP-013,A,Core
B,17,B-TX5C-001,A,Core
B,18,B-CE-005-R1,C,Calibration
B,19,B-TX5A-001-R1,A,Core
B,20,B-CE-017,B,Core
B,21,B-CP-007,C,Core
B,22,B-LE6-004,A,Core
B,23,B-CE-026,C,Calibration
B,24,B-TX5F-005-R1,B,Core
B,25,B-TX5F-002-R1,C,Core
B,26,B-DI-009-R2,A,Calibration
B,27,B-CE-035-R1,A,Core
B,28,B-CE-020-R1,B,Core
B,29,B-TX5C-006,D,Core
B,30,B-CP-009,A,Core
B,31,B-CR-006-R2,B,Core
B,32,B-DI-004,C,Core
B,33,B-CR-009-R2,A,Calibration
B,34,B-CE-002,D,Core
B,35,B-CE-009,D,Core
B,36,B-DI-001-R1,B,Core
B,37,B-TX5E-005-R1,C,Core
B,38,B-LE6-009-R2,C,Core
B,39,B-TX5D-006-R1,B,Core
B,40,B-LE6-013-R1,B,Core
B,41,B-CP-011,C,Calibration
B,42,B-CR-010,D,Core
B,43,B-CE-039,B,Core
B,44,B-TX5C-002,D,Core
B,45,B-TX5C-003,A,Core
B,46,B-CE-031,D,Core
B,47,B-LE6-002-R1,C,Calibration
B,48,B-CE-029,C,Core
B,49,B-CR-011-R2,B,Core
B,50,B-TX5A-003,B,Core
B,51,B-DI-012,D,Core
