Canonical Flashcard ID,Legacy / Package Card ID,Source Position,Status,Disposition,Program Section,Topic,Workbook Number,Chapter Number,Chapter Title,Card Type,Concept,Prompt,Back,Memory Cue,Assessment Record IDs,Source Master Question IDs,Workbook Route,Error Category,Source Concept,Currency Control,Source Accuracy,Version,Review Date,Output Status,Source Family
CTA-EP-002-FC-0001,CTA-FC-0001,CTA-FC-0001,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Key Concept,Informed Consent as a Process,What is the key principle to remember?,"Meaningful informed consent is a process involving information, sufficient understanding, voluntariness, and an actual treatment decision.","When the choices contrast a process with paperwork, select the answer centered on meaningful decision-making.",WB1-C1-Q001,CTA-MQB-0001,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0002,CTA-FC-0002,CTA-FC-0002,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Key Concept,Purpose and Autonomy,What is the key principle to remember?,Informed consent exists to support meaningful client decision-making and participation.,"The primary purpose is client decision-making - not guaranteed outcomes, defensive paperwork, or therapist protection.",WB1-C1-Q002,CTA-MQB-0002,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0003,CTA-FC-0003,CTA-FC-0003,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Informed Refusal,What principle should guide the clinician’s decision?,A competent adult in voluntary treatment may generally decline a proposed intervention after receiving and understanding relevant information.,"Look for the qualifiers competent adult, voluntary treatment, and understands the recommendation.",WB1-C1-Q003,CTA-MQB-0003,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0004,CTA-FC-0004,CTA-FC-0004,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Key Concept,Decision-Specific Capacity,What is the key principle to remember?,Capacity is decision-specific and concerns the person’s ability to understand and participate meaningfully in that decision.,"Eliminate answers that equate diagnosis, disagreement, or a signature with capacity.",WB1-C1-Q004,CTA-MQB-0004,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0005,CTA-FC-0005,CTA-FC-0005,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Questions After Intake,What principle should guide the clinician’s decision?,Later questions are part of the ongoing decision-making process and should be addressed directly.,"A prior signature never makes a later, reasonable treatment question irrelevant.",WB1-C1-Q005,CTA-MQB-0005,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0006,CTA-FC-0006,CTA-FC-0006,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Shared Decision-Making,What principle should guide the clinician’s decision?,"Professional expertise permits a recommendation, but it does not justify withholding reasonable information or dismissing client questions.",Distinguish a strong professional recommendation from professional domination.,WB1-C1-Q006,CTA-MQB-0006,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0007,CTA-FC-0007,CTA-FC-0007,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,External Pressure and Voluntariness,What principle should guide the clinician’s decision?,"External pressure is relevant, but the therapist should assess the client’s own goals and choice before deciding whether participation is voluntary.",The first response to external pressure is usually explore - not automatically validate or invalidate consent.,WB1-C1-Q007,CTA-MQB-0007,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0008,CTA-FC-0008,CTA-FC-0008,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Understandable Communication,What principle should guide the clinician’s decision?,"The therapist should use clear, accessible communication and verify comprehension.","When the problem is understanding, improve communication rather than merely documenting the problem.",WB1-C1-Q008,CTA-MQB-0008,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0009,CTA-FC-0009,CTA-FC-0009,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Client Deference,What principle should guide the clinician’s decision?,The therapist should confirm that the client understands the basic decision and knowingly chooses to rely on the recommendation.,"Client deference can be valid, but it should be informed - not assumed to be a waiver of all information.",WB1-C1-Q009,CTA-MQB-0009,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0010,CTA-FC-0010,CTA-FC-0010,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Therapist Pressure,What principle should guide the clinician’s decision?,"The therapist should restore understandable, voluntary decision-making and evaluate any legitimate treatment or termination issues separately.",A sudden ultimatum is a clue to evaluate therapist-created pressure and restore meaningful choice.,WB1-C1-Q010,CTA-MQB-0010,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
